idRepas,codePostal,ville,AdressePart,idGroupe,dateReu,nomReu 
12,60740,Saint-Maximin,395 avenue Elodie,5493327657,1996-09-09 09:43:17,Reunion du 1996-09-09 09:43:17 
7,44830,Bouaye,1415 route Vaillancourt Suite 528,9732817225,1993-01-07 20:19:08,Reunion du 1993-01-07 20:19:08 
3,95550,Bessancourt,692 chemin Tristan,3951950153,2020-02-13 03:23:44,Reunion du 2020-02-13 03:23:44 
9,29370,Elliant,023 montee Jacqueline Apt. 612,5086237928,2024-07-02 16:36:58,Reunion du 2024-07-02 16:36:58 
4,71200,Saint-Sernin-du-Bois,6614 avenue Audet,5543680383,1973-07-11 18:20:33,Reunion du 1973-07-11 18:20:33 
4,1700,Miribel,116 chemin Cecile,1317917664,1989-03-10 14:49:50,Reunion du 1989-03-10 14:49:50 
14,33170,Gradignan,55312 chemin Jean,1841694510,1974-06-06 14:54:39,Reunion du 1974-06-06 14:54:39 
9,79300,Bressuire,676 alle Dominique,8858129238,2015-07-28 11:45:15,Reunion du 2015-07-28 11:45:15 
7,51140,Muizon,25397 rue Durand Apt. 641,5165397688,2025-08-20 03:02:29,Reunion du 2025-08-20 03:02:29 
10,33650,Saucats,93077 route Lacasse Suite 179,2700688757,1989-06-23 21:36:25,Reunion du 1989-06-23 21:36:25 
13,95220,Herblay-sur-Seine,971 chemin Nathan,1449320867,1981-02-10 13:43:05,Reunion du 1981-02-10 13:43:05 
4,33650,Saucats,93077 route Lacasse Suite 179,4859961557,2005-05-05 21:18:51,Reunion du 2005-05-05 21:18:51 
10,71710,Montcenis,806 avenue Lacasse Suite 048,7323806146,1999-08-09 00:28:29,Reunion du 1999-08-09 00:28:29 
4,14111,Louvigny,7005 rue Anouk Apt. 499,2908087036,2013-04-27 03:44:37,Reunion du 2013-04-27 03:44:37 
16,92120,Montrouge,2292 boulevard Dufour,3629031470,1997-01-08 17:48:15,Reunion du 1997-01-08 17:48:15 
3,49300,Cholet,9293 boulevard Fortier,2908087036,2007-06-23 06:23:10,Reunion du 2007-06-23 06:23:10 
17,27780,Garennes-sur-Eure,47692 montee Demers Suite 566,9588731973,2016-11-22 00:56:49,Reunion du 2016-11-22 00:56:49 
13,64290,Gan,542 rue Helene,6984786420,2016-10-08 20:52:35,Reunion du 2016-10-08 20:52:35 
16,13180,Gignac-la-Nerthe,00960 rue Pepin Apt. 199,2872307404,2001-06-08 16:02:16,Reunion du 2001-06-08 16:02:16 
11,36200,Argenton-sur-Creuse,45421 route Cloutier Suite 072,8530366893,2012-09-21 13:29:46,Reunion du 2012-09-21 13:29:46 
5,7160,Cheylard,8240 boulevard Amelie Suite 229,5887468340,1995-01-23 16:59:31,Reunion du 1995-01-23 16:59:31 
13,54230,Chaligny,8973 avenue Andree Apt. 635,9985186113,1978-01-04 06:45:56,Reunion du 1978-01-04 06:45:56 
7,84500,Bollene,363 montee Frederic,3138503906,1992-07-19 19:50:32,Reunion du 1992-07-19 19:50:32 
10,64200,Biarritz,2234 chemin Jean,7820991608,2016-02-23 03:14:09,Reunion du 2016-02-23 03:14:09 
13,4200,Sisteron,71135 route Dallaire,3629031470,1982-11-17 14:41:12,Reunion du 1982-11-17 14:41:12 
12,68270,Wittenheim,687 chemin Therese,3585354305,1990-07-18 00:18:08,Reunion du 1990-07-18 00:18:08 
13,97416,Saint-Leu,52313 alle Andre Apt. 680,3112366825,2026-03-15 06:33:54,Reunion du 2026-03-15 06:33:54 
11,60570,Andeville,005 rang Jerome Suite 791,1070662891,1982-04-30 22:35:00,Reunion du 1982-04-30 22:35:00 
3,38560,Jarrie,524 rang Pilon Suite 920,2700688757,2017-10-26 17:41:03,Reunion du 2017-10-26 17:41:03 
9,43750,Vals-pres-le-Puy,6978 alle Christine Suite 364,9666700954,1995-02-07 10:07:18,Reunion du 1995-02-07 10:07:18 
9,22520,Binic-Etables-sur-Mer,66440 alle Gagne,1070662891,1975-05-26 22:40:03,Reunion du 1975-05-26 22:40:03 
6,83640,Saint-Zacharie,2775 route Marguerite,2550455337,1999-10-25 12:24:04,Reunion du 1999-10-25 12:24:04 
4,38080,Isle-dAbeau,75706 avenue Durand,6097674576,1984-11-13 06:18:02,Reunion du 1984-11-13 06:18:02 
5,93240,Stains,254 alle Eric Apt. 595,9484991502,2016-10-31 20:47:19,Reunion du 2016-10-31 20:47:19 
12,67230,Westhouse,508 rue Larose,1841694510,2011-08-23 15:50:47,Reunion du 2011-08-23 15:50:47 
11,13530,Trets,698 avenue Astrid,1105453431,1984-08-21 11:17:37,Reunion du 1984-08-21 11:17:37 
6,14530,Luc-sur-Mer,715 boulevard Rosalie Suite 894,9732817225,1972-06-24 10:30:16,Reunion du 1972-06-24 10:30:16 
6,49390,Vernantes,23384 avenue Margaret Apt. 107,3237188404,2024-11-24 07:42:12,Reunion du 2024-11-24 07:42:12 
6,69890,Tour-de-Salvagny,92316 avenue Daniel Apt. 586,5373373346,1970-11-30 06:15:15,Reunion du 1970-11-30 06:15:15 
8,62530,Hersin-Coupigny,124 alle Anais Apt. 811,4084083412,2015-12-12 21:19:08,Reunion du 2015-12-12 21:19:08 
