Code Postal, Ville 
1500,AMBERIEU EN BUGEY 
1330,AMBERIEUX EN DOMBES 
1500,AMBRONAY 
1100,ARBENT 
1340,ATTIGNAT 
1380,BAGE DOMMARTIN 
1360,BALAN 
1100,BELLIGNAT 
1360,BELIGNEUX 
1200,VALSERHONE 
1300,BELLEY 
1700,BEYNOST 
1120,LA BOISSE 
1000,BOURG EN BRESSE 
1800,BOURG ST CHRISTOPHE 
1310,BUELLAS 
1240,CERTINES 
1170,CESSY 
1250,CEYZERIAT 
1320,CHALAMONT 
1630,CHALLEX 
1500,CHATEAU GAILLARD 
1320,CHATILLON LA PALUD 
1400,CHATILLON SUR CHALARONNE 
1150,CHAZEY SUR AIN 
1170,CHEVRY 
1390,CIVRIEUX 
1550,COLLONGES 
1340,BRESSE VALLONS 
1290,CROTTET 
1750,CROTTET 
1170,CROZET 
1350,CULOZ BEON 
1120,DAGNEUX 
1220,DIVONNE LES BAINS 
1590,DORTAN 
1170,ECHENEVEX 
1480,FAREINS 
1570,FEILLENS 
1210,FERNEY VOLTAIRE 
1340,FOISSIAT 
1090,FRANCHELEINS 
1480,FRANS 
1170,GEX 
1290,GRIEGES 
1110,PLATEAU D HAUTEVILLE 
1580,IZERNORE 
1480,JASSANS RIOTTIER 
1250,JASSERON 
1640,JUJURIEUX 
1150,LAGNIEU 
1360,LOYETTES 
1570,MANZIAT 
1851,MARBOZ 
1100,MARTIGNAT 
1600,MASSIEUX 
1800,MEXIMIEUX 
1660,MEZERIAT 
1390,MIONNAY 
1700,MIRIBEL 
1600,MISERIEUX 
1250,MONTAGNAT 
1120,MONTLUEL 
1090,MONTMERLE SUR SAONE 
1460,MONTREAL LA CLUSE 
1340,MONTREVEL EN BRESSE 
1130,NANTUA 
1460,NANTUA 
1400,NEUVILLE LES DAMES 
1160,NEUVILLE SUR AIN 
1700,NEYRON 
1120,NIEVROZ 
1210,ORNEX 
1100,OYONNAX 
1630,PERON 
1960,PERONNAS 
1310,POLLIAT 
1450,PONCIN 
1160,PONT D AIN 
1190,PONT DE VAUX 
1290,PONT DE VEYLE 
1280,PREVESSIN MOENS 
1160,PRIAY 
1750,REPLONGES 
1600,REYRIEUX 
1390,ST ANDRE DE CORCY 
1380,ST CYR SUR MENTHON 
1000,ST DENIS LES BOURG 
1500,ST DENIS EN BUGEY 
1600,ST DIDIER DE FORMANS 
1140,ST DIDIER SUR CHALARONNE 
1370,ST ETIENNE DU BOIS 
1140,ST ETIENNE SUR CHALARONNE 
1600,STE EUPHEMIE 
1630,ST GENIS POUILLY 
1630,ST JEAN DE GONVILLE 
1800,ST JEAN DE NIOST 
1640,ST JEAN LE VIEUX 
1750,ST LAURENT SUR SAONE 
1160,ST MARTIN DU MONT 
1700,ST MAURICE DE BEYNOST 
1800,ST MAURICE DE GOURDANS 
1240,ST PAUL DE VARAX 
1230,ST RAMBERT EN BUGEY 
1990,ST TRIVIER SUR MOIGNANS 
1170,SEGNY 
1630,SERGY 
1710,THOIRY 
1140,THOISSEY 
1390,TRAMOYES 
1370,VAL REVERMONT 
1600,TREVOUX 
1210,VERSONNEX 
1330,VILLARS LES DOMBES 
1480,VILLENEUVE 
1800,VILLIEU LOYES MOLLON 
1440,VIRIAT 
1540,VONNAS 
2320,ANIZY LE GRAND 
2840,ATHIES SOUS LAON 
2800,BEAUTOR 
2200,BELLEU 
2110,BOHAIN EN VERMANDOIS 
2220,BRAINE 
2400,BRASLES 
2880,BUCY LE LONG 
2260,LA CAPELLE 
2310,CHARLY SUR MARNE 
2800,CHARMES 
2400,CHATEAU THIERRY 
2300,CHAUNY 
2200,COURMELLES 
2270,CRECY SUR SERRE 
2870,CREPY 
2880,CROUY 
2880,CUFFIES 
2400,ESSOMES SUR MARNE 
2800,LA FERE 
2130,FERE EN TARDENOIS 
2460,LA FERTE MILON 
2520,FLAVY LE MARTEL 
2230,FRESNOY LE GRAND 
2430,GAUCHY 
2190,VILLENEUVE SUR AISNE 
2120,GUISE 
2100,HARLY 
2500,HIRSON 
2000,LAON 
2250,MARLE 
2440,MONTESCOURT LIZEROLLES 
2470,NEUILLY ST FRONT 
2310,NOGENT L ARTAUD 
2170,LE NOUVION EN THIERACHE 
2390,ORIGNY STE BENOITE 
2320,PINON 
2240,RIBEMONT 
2820,ST ERME OUTRE ET RAMECOURT 
2410,ST GOBAIN 
2830,ST MICHEL 
2100,ST QUENTIN 
2300,SINCENY 
2150,SISSONNE 
2200,SOISSONS 
2700,TERGNIER 
2370,VAILLY SUR AISNE 
2140,VERVINS 
2290,VIC SUR AISNE 
2200,VILLENEUVE ST GERMAIN 
2600,VILLERS COTTERETS 
2300,VIRY NOUREUIL 
3200,ABREST 
3000,AVERMES 
3230,BEAULON 
3700,BELLERIVE SUR ALLIER 
3160,BOURBON L ARCHAMBAULT 
3700,BRUGHEAS 
3600,COMMENTRY 
3430,COSNE D ALLIER 
3300,CREUZIER LE VIEUX 
3300,CUSSET 
3630,DESERTINES 
3410,DOMERAT 
3290,DOMPIERRE SUR BESBRE 
3800,GANNAT 
3380,HURIEL 
3120,LAPALISSE 
3320,LURCY LEVIS 
3230,LUSIGNY 
3100,MONTLUCON 
3390,MONTMARAULT 
3000,MOULINS 
3310,NERIS LES BAINS 
3410,PREMILHAT 
3380,QUINSSAINES 
3260,ST GERMAIN DES FOSSES 
3500,ST POURCAIN SUR SIOULE 
3110,ST REMY EN ROLLAT 
3410,ST VICTOR 
3270,ST YORRE 
3210,SOUVIGNY 
3460,TREVOL 
3150,VARENNES SUR ALLIER 
3110,VENDAT 
3200,LE VERNET 
3200,VICHY 
3400,YZEURE 
4400,BARCELONNETTE 
4160,CHATEAU ARNOUX ST AUBAN 
4600,CHATEAU ARNOUX ST AUBAN 
4000,DIGNE LES BAINS 
4300,FORCALQUIER 
4800,GREOUX LES BAINS 
4350,MALIJAI 
4510,MALIJAI 
4100,MANOSQUE 
4190,LES MEES 
4700,ORAISON 
4310,PEYRUIS 
4860,PIERREVERT 
4110,REILLANNE 
4500,RIEZ 
4220,STE TULLE 
4200,SISTERON 
4210,VALENSOLE 
4180,VILLENEUVE 
4290,VOLONNE 
4130,VOLX 
5120,L ARGENTIERE LA BESSEE 
5230,LA BATIE NEUVE 
5100,BRIANCON 
5230,CHORGES 
5200,EMBRUN 
5000,GAP 
5600,GUILLESTRE 
5300,LARAGNE MONTEGLIN 
5400,LA ROCHE DES ARNAUDS 
5500,ST BONNET EN CHAMPSAUR 
5330,ST CHAFFREY 
5130,TALLARD 
5400,VEYNES 
6160,ANTIBES 
6600,ANTIBES 
6790,ASPREMONT 
6810,AURIBEAU SUR SIAGNE 
6620,LE BAR SUR LOUP 
6310,BEAULIEU SUR MER 
6240,BEAUSOLEIL 
6410,BIOT 
6440,BLAUSASC 
6540,BREIL SUR ROYA 
6800,CAGNES SUR MER 
6150,CANNES 
6400,CANNES 
6110,LE CANNET 
6320,CAP D AIL 
6510,CARROS 
6670,CASTAGNIERS 
6740,CHATEAUNEUF GRASSE 
6480,LA COLLE SUR LOUP 
6670,COLOMARS 
6390,CONTES 
6340,DRAP 
6440,L ESCARENE 
6360,EZE 
6950,FALICON 
6510,GATTIERES 
6610,LA GAUDE 
6830,GILETTE 
6500,GORBIO 
6130,GRASSE 
6520,GRASSE 
6670,LEVENS 
6210,MANDELIEU LA NAPOULE 
6500,MENTON 
6370,MOUANS SARTOUX 
6250,MOUGINS 
6000,NICE 
6100,NICE 
6200,NICE 
6300,NICE 
6650,OPIO 
6580,PEGOMAS 
6440,PEILLE 
6530,PEYMEINADE 
6260,PUGET THENIERS 
6450,ROQUEBILLIERE 
6190,ROQUEBRUNE CAP MARTIN 
6330,ROQUEFORT LES PINS 
6550,LA ROQUETTE SUR SIAGNE 
6650,LE ROURET 
6730,ST ANDRE DE LA ROCHE 
6530,ST CEZAIRE SUR SIAGNE 
6640,ST JEANNET 
6700,ST LAURENT DU VAR 
6670,ST MARTIN DU VAR 
6570,ST PAUL DE VENCE 
6460,ST VALLIER DE THIEY 
6380,SOSPEL 
6530,LE TIGNET 
6690,TOURRETTE LEVENS 
6140,TOURRETTES SUR LOUP 
6340,LA TRINITE 
6320,LA TURBIE 
6560,VALBONNE 
6220,VALLAURIS 
6140,VENCE 
6230,VILLEFRANCHE SUR MER 
6270,VILLENEUVE LOUBET 
6430,TENDE 
7400,ALBA LA ROMAINE 
7100,ANNONAY 
7200,AUBENAS 
7800,BEAUCHASTEL 
7100,BOULIEU LES ANNONAY 
7700,BOURG ST ANDEOL 
7800,CHARMES SUR RHONE 
7160,LE CHEYLARD 
7210,CHOMERAC 
7130,CORNAS 
7000,COUX 
7350,CRUAS 
7430,DAVEZIEUX 
7340,FELINES 
7500,GUILHERAND GRANGES 
7260,JOYEUSE 
7230,LABLACHERE 
7200,LACHAPELLE SOUS AUBENAS 
7270,LAMASTRE 
7110,LARGENTIERE 
7170,LAVILLEDIEU 
7340,PEAUGRES 
7250,LE POUZIN 
7000,PRIVAS 
7290,QUINTENAS 
7400,ROCHEMAURE 
7100,ROIFFIEUX 
7120,RUOMS 
7320,ST AGREVE 
7200,ST ETIENNE DE FONTBELLON 
7800,ST GEORGES LES BAINS 
7300,ST JEAN DE MUZOLS 
7700,ST JUST D ARDECHE 
7800,ST LAURENT DU PAPE 
7700,ST MARCEL D ARDECHE 
7220,ST MONTAN 
7130,ST PERAY 
7200,ST PRIVAT 
7200,ST SERNIN 
7370,SARRAS 
7290,SATILLIEU 
7130,SOYONS 
7400,LE TEIL 
7130,TOULAUD 
7300,TOURNON SUR RHONE 
7200,UCEL 
7150,VALLON PONT D ARC 
7600,VALS LES BAINS 
7140,LES VANS 
7430,VERNOSC LES ANNONAY 
7240,VERNOUX EN VIVARAIS 
7200,VESSEAUX 
7000,VEYRAS 
7170,VILLENEUVE DE BERG 
7220,VIVIERS 
7800,LA VOULTE SUR RHONE 
8090,AIGLEMONT 
8200,BALAN 
8140,BAZEILLES 
8120,BOGNY SUR MEUSE 
8110,CARIGNAN 
8000,CHARLEVILLE MEZIERES 
8350,DONCHERY 
8140,DOUZY 
8160,FLIZE 
8200,FLOING 
8000,LA FRANCHEVILLE 
8170,FUMAY 
8600,GIVET 
8170,HAYBES 
8090,MONTCY NOTRE DAME 
8800,MONTHERME 
8210,MOUZON 
8160,NOUVION SUR MEUSE 
8700,NOUZONVILLE 
8150,RENWEZ 
8300,RETHEL 
8500,REVIN 
8230,ROCROI 
8300,SAULT LES RETHEL 
8200,SEDAN 
8000,VILLERS SEMEUSE 
8320,VIREUX WALLERAND 
8440,VIVIER AU COURT 
8400,VOUZIERS 
8330,VRIGNE AUX BOIS 
8350,VRIGNE AUX BOIS 
9000,FOIX 
9600,LAROQUE D OLMES 
9300,LAVELANET 
9210,LEZAT SUR LEZE 
9270,MAZERES 
9500,MIREPOIX 
9100,PAMIERS 
9200,ST GIRONS 
9100,ST JEAN DU FALGA 
9700,SAVERDUN 
9400,TARASCON SUR ARIEGE 
9100,LA TOUR DU CRIEU 
9120,VARILHES 
9340,VERNIOLLE 
10160,AIX VILLEMAUR PALIS 
10190,AIX VILLEMAUR PALIS 
10700,ARCIS SUR AUBE 
10600,BARBEREY ST SULPICE 
10200,BAR SUR AUBE 
10110,BAR SUR SEINE 
10450,BREVIANDES 
10500,BRIENNE LE CHATEAU 
10800,BUCHERES 
10600,LA CHAPELLE ST LUC 
10150,CRENEY PRES TROYES 
10190,ESTISSAC 
10270,LUSIGNY SUR BARSE 
10230,MAILLY LE CAMP 
10510,MAIZIERES LA GRANDE PAROISSE 
10350,MARIGNY LE CHATEL 
10420,LES NOES PRES TROYES 
10400,NOGENT SUR SEINE 
10150,PONT STE MARIE 
10440,LA RIVIERE DE CORPS 
10100,ROMILLY SUR SEINE 
10430,ROSIERES PRES TROYES 
10120,ST ANDRE LES VERGERS 
10120,ST GERMAIN 
10800,ST JULIEN LES VILLAS 
10180,ST LYE 
10150,STE MAURE 
10410,ST PARRES AUX TERTRES 
10300,STE SAVINE 
10000,TROYES 
10140,VENDEUVRE SUR BARSE 
10390,VERRIERES 
10370,VILLENAUXE LA GRANDE 
11170,ALZONNE 
11120,ARGELIERS 
11200,BIZANET 
11150,BRAM 
11200,CANET 
11000,CARCASSONNE 
11400,CASTELNAUDARY 
11160,CAUNES MINERVOIS 
11570,CAZILHAC 
11600,CONQUES SUR ORBIEL 
11110,COURSAN 
11590,CUXAC D AUDE 
11260,ESPERAZA 
11560,FLEURY 
11120,GINESTAS 
11430,GRUISSAN 
11480,LA PALME 
11290,LAVALETTE 
11370,LEUCATE 
11200,LEZIGNAN CORBIERES 
11300,LIMOUX 
11290,MONTREAL 
11120,MOUSSAN 
11100,NARBONNE 
11210,PORT LA NOUVELLE 
11590,OUVEILLAN 
11570,PALAJA 
11610,PENNAUTIER 
11170,PEZENS 
11500,QUILLAN 
11160,RIEUX MINERVOIS 
11120,ST MARCEL SUR AUDE 
11120,ST NAZAIRE D AUDE 
11590,SALLELES D AUDE 
11110,SALLES D AUDE 
11130,SIGEAN 
11800,TREBES 
11600,VILLEGAILHENC 
11620,VILLEMOUSTAUSSOU 
11110,VINASSAN 
12110,AUBIN 
12200,LE BAS SEGALA 
12240,LE BAS SEGALA 
12340,BOZOULS 
12450,CALMONT 
12700,CAPDENAC GARE 
12160,BARAQUEVILLE 
12230,LA CAVALERIE 
12100,CREISSELS 
12300,DECAZEVILLE 
12000,DRUELLE BALSAC 
12510,DRUELLE BALSAC 
12500,ESPALION 
12300,FIRMI 
12450,FLAVIN 
12310,LAISSAC SEVERAC L EGLISE 
12740,LA LOUBIERE 
12450,LUC LA PRIMAUBE 
12330,MARCILLAC VALLON 
12100,MILLAU 
12000,LE MONASTERE 
12630,MONTROZIER 
12800,NAUCELLE 
12510,OLEMPS 
12000,ONET LE CHATEAU 
12850,ONET LE CHATEAU 
12290,PONT DE SALARS 
12170,REQUISTA 
12240,RIEUPEYROUX 
12390,RIGNAC 
12000,RODEZ 
12400,ST AFFRIQUE 
12210,ARGENCES EN AUBRAC 
12420,ARGENCES EN AUBRAC 
