idRepas,codePostal,ville,AdressePart,idGroupe,dateReu,nomReu 
10,53410,PORT BRILLET,026 avenue Roy,2066876245,2021-01-16 04:16:28,Reunion du 2021-01-16 04:16:28 
9,85250,CHAVAGNES EN PAILLERS,556 rue Richard Apt. 548,1143066551,1997-07-25 21:39:51,Reunion du 1997-07-25 21:39:51 
7,83210,LA FARLEDE,24760 route Hamel,7798517131,1978-08-02 19:30:47,Reunion du 1978-08-02 19:30:47 
12,30200,BAGNOLS SUR CEZE,01406 alle Dorothee,4042598904,2006-02-02 03:41:32,Reunion du 2006-02-02 03:41:32 
5,83600,FREJUS,8634 boulevard Dufresne Apt. 492,6652353540,2014-11-25 21:42:37,Reunion du 2014-11-25 21:42:37 
4,6620,LE BAR SUR LOUP,5060 boulevard Sylvie Apt. 644,1884335769,2000-06-22 14:55:50,Reunion du 2000-06-22 14:55:50 
8,59520,MARQUETTE LEZ LILLE,597 rue Rosalie,4027437735,2014-12-11 09:36:56,Reunion du 2014-12-11 09:36:56 
14,81160,ARTHES,5703 montee Brassard Apt. 361,7905312397,1999-08-05 18:02:52,Reunion du 1999-08-05 18:02:52 
8,68160,STE MARIE AUX MINES,77015 alle Brisson,7686223568,1984-05-15 00:38:21,Reunion du 1984-05-15 00:38:21 
11,59285,ARNEKE,9986 boulevard Ferland,6652353540,1982-12-07 20:11:39,Reunion du 1982-12-07 20:11:39 
9,35160,TALENSAC,893 montee Trepanier,3740641722,2004-12-14 07:01:22,Reunion du 2004-12-14 07:01:22 
6,21490,ST JULIEN,65875 rang Florence,6099325542,1981-03-09 19:53:15,Reunion du 1981-03-09 19:53:15 
6,40180,OEYRELUY,009 route Drolet,8955663592,1985-10-14 02:10:51,Reunion du 1985-10-14 02:10:51 
10,5100,BRIANCON,10294 montee Bilodeau,7146957910,1992-01-24 20:37:53,Reunion du 1992-01-24 20:37:53 
13,47200,MARMANDE,66566 rue Roland,7372637477,2019-10-04 17:18:30,Reunion du 2019-10-04 17:18:30 
