code_postal,ville,population
75000,Paris,2133111
13000,Marseille,873076
69000,Lyon,522250
31100,Toulouse,504078
6000,Nice,348085
44200,Nantes,323204
34080,Montpellier,302454
67000,Strasbourg,291313
33300,Bordeaux,261804
59260,Lille,236710
35700,Rennes,225081
83000,Toulon,180452
51100,Reims,179380
42100,Saint-Étienne,172718
76620,Havre,166058
21000,Dijon,159346
38000,Grenoble,157477
49000,Angers,157175
69100,Villeurbanne,156928
97400,Saint-Denis,154765
30900,Nîmes,148104
13100,Aix-en-Provence,147478
63100,Clermont-Ferrand,147327
72100,Mans,145004
29200,Brest,139619
37100,Tours,137658
80090,Amiens,133625
74000,Annecy,131715
87100,Limoges,129760
57070,Metz,120874
92100,Boulogne-Billancourt,119808
66000,Perpignan,119656
25000,Besançon,119198
45000,Orléans,116617
76100,Rouen,114083
93210,Saint-Denis,113942
93100,Montreuil,111455
14000,Caen,108200
95100,Argenteuil,107221
68200,Mulhouse,106341
97411,Saint-Paul,105240
54100,Nancy,104260
59200,Tourcoing,99011
59100,Roubaix,98892
92000,Nanterre,97351
94400,Vitry-sur-Seine,96205
94000,Créteil,92989
84000,Avignon,90330
86000,Poitiers,90240
93300,Aubervilliers,90071
92600,Asnières-sur-Seine,89662
92700,Colombes,88870
59140,Dunkerque,86788
93600,Aulnay-sous-Bois,86135
97410,Saint-Pierre,84077
78000,Versailles,83587
97418,Tampon,81943
92400,Courbevoie,81516
34500,Béziers,80341
17000,Rochelle,78535
92500,Rueil-Malmaison,78186
50110,Cherbourg-en-Cotentin,77808
94500,Champigny-sur-Marne,77724
64000,Pau,77066
33700,Mérignac,75729
94210,Saint-Maur-des-Fossés,75441
6160,Antibes,75130
97200,Fort-de-France,74921
20000,Ajaccio,73822
6150,Cannes,73255
44600,Saint-Nazaire,72057
97600,Mamoudzou,71437
93700,Drancy,71363
93160,Noisy-le-Grand,70374
92130,Issy-les-Moulineaux,68580
95000,Cergy,68348
92300,Levallois-Perret,68009
68000,Colmar,67730
62100,Calais,67380
33600,Pessac,66760
69200,Vénissieux,66363
91080,Évry-Courcouronnes,66177
92110,Clichy,64849
26000,Valence,64483
94200,Ivry-sur-Seine,64001
18000,Bourges,63702
29000,Quimper,63642
97300,Cayenne,63468
92160,Antony,63232
10000,Troyes,62782
83500,Seyne-sur-Mer,62763
59650,Villeneuve-dAscq,62067
82000,Montauban,61919
93500,Pantin,60800
73000,Chambéry,59856
79000,Niort,59309
92200,Neuilly-sur-Seine,59267
95200,Sarcelles,58424
93150,Blanc-Mesnil,58257
94700,Maisons-Alfort,58068
56100,Lorient,57846
94800,Villejuif,57753
97440,Saint-André,57150
83600,Fréjus,57082
60000,Beauvais,56677
11100,Narbonne,56395
77100,Meaux,55616
83400,Hyères,55103
93000,Bobigny,55056
85000,Roche-sur-Yon,54952
92140,Clamart,54491
56000,Vannes,54420
77500,Chelles,54309
49300,Cholet,53936
97421,Saint-Louis,53935
93800,Épinay-sur-Seine,53489
93400,Saint-Ouen-sur-Seine,53207
2100,Saint-Quentin,52958
93140,Bondy,52905
64100,Bayonne,52749
91100,Corbeil-Essonnes,52683
6800,Cagnes-sur-Mer,52580
69120,Vaulx-en-Velin,52139
97142,Abymes,52118
93270,Sevran,51845
94120,Fontenay-sous-Bois,51812
78500,Sartrouville,51220
91300,Massy,50962
13280,Arles,50415
97320,Saint-Laurent-du-Maroni,50250
81000,Albi,49714
53000,Laval,49657
44800,Saint-Herblain,49537
92230,Gennevilliers,49410
92150,Suresnes,49104
69800,Saint-Priest,48822
94300,Vincennes,48798
20600,Bastia,48768
13500,Martigues,48568
85180,Sables-dOlonne,48402
6130,Grasse,48323
92120,Montrouge,47657
13400,Aubagne,47342
35400,Saint-Malo,47323
27000,Évreux,47289
93120,Courneuve,47160
41000,Blois,46813
19100,Brive-la-Gaillarde,46599
8000,Charleville-Mézières,46398
92190,Meudon,46342
11000,Carcassonne,46218
94600,Choisy-le-Roi,46129
93130,Noisy-le-Sec,46094
93190,Livry-Gargan,46028
93110,Rosny-sous-Bois,45655
33400,Talence,45225
90000,Belfort,45155
94140,Alfortville,45046
71100,Chalon-sur-Saône,45031
13300,Salon-de-Provence,44731
34200,Sète,44712
13118,Istres,44577
78200,Mantes-la-Jolie,44539
78112,Saint-Germain-en-Laye,44380
22000,Saint-Brieuc,44224
65000,Tarbes,43955
30100,Alès,43892
51000,Châlons-en-Champagne,43877
92220,Bagneux,43699
92800,Puteaux,43672
69300,Caluire-et-Cuire,43572
69500,Bron,43049
44400,Rezé,42998
59300,Valenciennes,42991
36000,Châteauroux,42968
95140,Garges-lès-Gonesse,42841
81100,Castres,42672
62000,Arras,42600
77000,Melun,42367
57100,Thionville,42163
6110,Cannet,41597
1000,Bourg-en-Bresse,41525
64600,Anglet,41153
16000,Angoulême,41086
62200,Boulogne-sur-Mer,40910
59150,Wattrelos,40836
5000,Gap,40500
33140,Villenave-dOrnon,40500
26200,Montélimar,40399
60200,Compiègne,40394
93240,Stains,40359
93220,Gagny,40189
31770,Colomiers,40159
78300,Poissy,40016
83300,Draguignan,39745
59500,Douai,39648
97232,Lamentin,39641
93170,Bagnolet,39366
59700,Marcq-en-Barœul,39356
97480,Saint-Joseph,38807
93420,Villepinte,38725
38400,Saint-Martin-dHères,38454
28000,Chartres,38447
77340,Pontault-Combault,38258
37300,Joué-lès-Tours,38183
74100,Annemasse,37918
93330,Neuilly-sur-Marne,37531
95130,Franconville,37520
91600,Savigny-sur-Orge,37371
93290,Tremblay-en-France,37271
74200,Thonon-les-Bains,37027
97437,Saint-Benoît,37023
13600,Ciotat,36987
38130,Échirolles,36849
92320,Châtillon,36777
91200,Athis-Mons,36222
83140,Six-Fours-les-Plages,36203
60100,Creil,36106
83530,Saint-Raphaël,35950
78700,Conflans-Sainte-Honorine,35926
69400,Villefranche-sur-Saône,35913
69330,Meyzieu,35882
91700,Sainte-Geneviève-des-Bois,35846
67500,Haguenau,35715
13127,Vitrolles,35532
94190,Villeneuve-Saint-Georges,35492
97419,Possession,35245
42400,Saint-Chamond,35068
92290,Châtenay-Malabry,34898
97416,Saint-Leu,34893
91120,Palaiseau,34893
97351,Matoury,34810
89000,Auxerre,34778
42300,Roanne,34762
71000,Mâcon,34448
97438,Sainte-Marie,34344
94170,Perreux-sur-Marne,34213
67300,Schiltigheim,34129
78130,Mureaux,33977
78190,Trappes,33717
94130,Nogent-sur-Marne,33472
78800,Houilles,33449
3100,Montluçon,33342
97420,Port,33336
93230,Romainville,33266
13700,Marignane,33003
26100,Romans-sur-Isère,32911
58000,Nevers,32830
62300,Lens,32618
33160,Saint-Médard-en-Jalles,32538
47000,Agen,32485
93380,Pierrefitte-sur-Seine,32379
88000,Épinal,32285
97600,Koungou,32156
95870,Bezons,32017
73100,Aix-les-Bains,31874
78180,Montigny-le-Bretonneux,31777
95220,Herblay-sur-Seine,31605
59400,Cambrai,31425
94240,Haÿ-les-Roses,31392
78370,Plaisir,31375
95300,Pontoise,31327
86100,Châtellerault,31284
69140,Rillieux-la-Pape,31247
94320,Thiais,31097
38200,Vienne,31051
91270,Vigneux-sur-Seine,31050
91170,Viry-Châtillon,31045
6700,Saint-Laurent-du-Var,30941
78150,Chesnay-Rocquencourt,30924
97122,Baie-Mahault,30909
28100,Dreux,30879
33130,Bègles,30813
84200,Carpentras,30769
95190,Goussainville,30693
40000,Mont-de-Marsan,30674
94350,Villiers-sur-Marne,30669
94230,Cachan,30592
77176,Savigny-le-Temple,30510
6500,Menton,30412
93250,Villemomble,30332
92240,Malakoff,30292
62800,Liévin,30149
92250,Garenne-Colombes,29932
91130,Ris-Orangis,29825
92270,Bois-Colombes,29765
93390,Clichy-sous-Bois,29735
69150,Décines-Charpieu,29731
92210,Saint-Cloud,29727
78400,Chatou,29649
38300,Bourgoin-Jallieu,29577
54500,Vandœuvre-lès-Nancy,29537
24000,Périgueux,29516
94220,Charenton-le-Pont,29445
31170,Tournefeuille,29439
78280,Guyancourt,29406
92350,Plessis-Robinson,29228
91210,Draveil,29173
34300,Agde,29103
59600,Maubeuge,29066
95120,Ermont,28987
76300,Sotteville-lès-Rouen,28965
84100,Orange,28949
95400,Villiers-le-Bel,28836
94260,Fresnes,28780
2200,Soissons,28705
91330,Yerres,28699
76800,Saint-Étienne-du-Rouvray,28508
76370,Dieppe,28358
44230,Saint-Sébastien-sur-Loire,28283
6220,Vallauris,28025
92170,Vanves,28014
94450,Limeil-Brévannes,27999
93370,Montfermeil,27980
44700,Orvault,27872
94370,Sucy-en-Brie,27622
97354,Remire-Montjoly,27274
91350,Grigny,27257
97190,Gosier,27184
59130,Lambersart,27121
67400,Illkirch-Graffenstaden,27118
69600,Oullins-Pierre-Bénite,27113
91220,Brétigny-sur-Orge,27106
89100,Sens,27034
95150,Taverny,27025
77270,Villeparisis,26822
78120,Rambouillet,26816
33150,Cenon,26778
95110,Sannois,26768
95240,Cormeilles-en-Parisis,26741
77600,Bussy-Saint-Georges,26571
33115,Teste-de-Buch,26556
91150,Étampes,26529
31700,Blagnac,26466
13140,Miramas,26405
24100,Bergerac,26323
49400,Saumur,26215
34400,Lunel,26185
78990,Élancourt,26082
62110,Hénin-Beaumont,26035
44120,Vertou,26002
76120,Grand-Quevilly,25975
95500,Gonesse,25963
84300,Cavaillon,25923
83130,Garde,25912
33170,Gradignan,25835
15000,Aurillac,25815
49450,Sèvremoine,25806
3200,Vichy,25789
64200,Biarritz,25764
77420,Champs-sur-Marne,25695
59280,Armentières,25581
25200,Montbéliard,25573
61000,Alençon,25555
17100,Saintes,25518
91800,Brunoy,25423
95600,Eaubonne,25373
92390,Villeneuve-la-Garenne,25371
18100,Vierzon,25348
91940,Ulis,25253
31600,Muret,25060
95310,Saint-Ouen-lAumône,25023
62400,Béthune,24992
34170,Castelnau-le-Lez,24888
92260,Fontenay-aux-Roses,24772
97310,Kourou,24612
33500,Libourne,24557
27200,Vernon,24543
94310,Orly,24482
94270,Kremlin-Bicêtre,24380
33320,Eysines,24374
33110,Bouscat,24339
97441,Sainte-Suzanne,24293
97180,Sainte-Anne,24281
97170,Petit-Bourg,24272
12000,Rodez,24207
93320,Pavillons-sous-Bois,24165
2000,Laon,24021
83160,Valette-du-Var,23955
34110,Frontignan,23808
91230,Montgeron,23800
39100,Dole,23775
49600,Beaupréau-en-Mauges,23639
93260,Lilas,23469
33310,Lormont,23291
17300,Rochefort,23092
78600,Maisons-Laffitte,23080
52100,Saint-Dizier,23068
77680,Roissy-en-Brie,23061
44220,Couëron,23057
32000,Auch,23041
56600,Lanester,23026
59120,Loos,23013
4100,Manosque,22926
38600,Fontaine,22891
45160,Olivet,22855
77190,Dammarie-les-Lys,22845
78140,Vélizy-Villacoublay,22713
68300,Saint-Louis,22698
69160,Tassin-la-Demi-Lune,22676
97160,Moule,22645
92310,Sèvres,22618
95370,Montigny-lès-Cormeilles,22603
80100,Abbeville,22595
95170,Deuil-la-Barre,22510
85300,Challans,22494
59110,Madeleine,22488
77200,Torcy,22444
33470,Gujan-Mestras,22399
91190,Gif-sur-Yvette,22352
1100,Oyonnax,22277
77130,Montereau-Fault-Yonne,22259
77380,Combs-la-Ville,22240
14200,Hérouville-Saint-Clair,22227
13170,Pennes-Mirabeau,22161
51200,Épernay,22001
95160,Montmorency,21870
69110,Sainte-Foy-lès-Lyon,21858
57950,Montigny-lès-Metz,21854
62700,Bruay-la-Buissière,21827
76140,Petit-Quevilly,21782
12100,Millau,21712
45800,Saint-Jean-de-Braye,21700
52000,Chaumont,21699
47300,Villeneuve-sur-Lot,21629
6210,Mandelieu-la-Napoule,21561
94110,Arcueil,21557
59190,Hazebrouck,21498
13190,Allauch,21490
59370,Mons-en-Barœul,21467
45400,Fleury-les-Aubrais,21438
91240,Saint-Michel-sur-Orge,21437
93360,Neuilly-Plaisance,21415
49120,Chemillé-en-Anjou,21386
60180,Nogent-sur-Oise,21382
78711,Mantes-la-Ville,21376
78260,Achères,21368
40100,Dax,21347
97231,Robert,21305
94160,Saint-Mandé,21195
77400,Lagny-sur-Marne,21191
13120,Gardanne,21174
57600,Forbach,21130
94290,Villeneuve-le-Roi,21129
78210,Saint-Cyr-lÉcole,20971
69230,Saint-Genis-Laval,20929
38500,Voiron,20891
95210,Saint-Gratien,20866
59290,Wasquehal,20836
59250,Halluin,20829
92340,Bourg-la-Reine,20810
91390,Morsang-sur-Orge,20785
59170,Croix,20778
59210,Coudekerque-Branche,20765
71200,Creusot,20731
77330,Ozoir-la-Ferrière,20692
69700,Givors,20654
35300,Fougères,20653
59220,Denain,20640
77290,Mitry-Mory,20627
57200,Sarreguemines,20624
91160,Longjumeau,20620
29900,Concarneau,20607
85600,Montaigu-Vendée,20605
44470,Carquefou,20510
92330,Sceaux,20488
78170,Celle-Saint-Cloud,20476
94340,Joinville-le-Pont,20413
44340,Bouguenais,20410
22300,Lannion,20344
31270,Cugnaux,20341
59760,Grande-Synthe,20331
44240,Chapelle-sur-Erdre,20331
94550,Chevilly-Larue,20326
67380,Lingolsheim,20266
94420,Plessis-Trévise,20218
33520,Bruges,20215
77350,Mée-sur-Seine,20207
63800,Cournon-dAuvergne,20193
46000,Cahors,20141
